Ранг популярности,Группа популярности,Название,Стоимость,Подразделение,Категория услуги
48,Лаборатория: базовая,"КОМПЛЕКС ОКА + БХ: СТАНДАРТ (креатинин, мочевина, K, Na, Cl, фосфор, общий белок, альбумин, глобулин, общий билирубин, глюкоза, АСТ, АЛТ, ГГТ, ЩФ) + общий клинический анализ крови",5500,Лаборатория,Лаборатория. Биохимические анализы
49,Лаборатория: базовая,Общий клинический анализ крови (автоматический подсчет клеток+микроскопия мазка),2290,Лаборатория,Лаборатория. Гематологические исследования
50,Лаборатория: базовая,"Биохимический анализ СТАНДАРТНЫЙ РАСШИРЕННЫЙ (АЛТ, альбумин, АСТ, белок общий, билирубин общий, ГГТ, глюкоза,  калий, кальций, креатинин, мочевина, натрий, фосфор, ЩФ, хлор)",6050,Лаборатория,Лаборатория. Биохимические анализы
51,Лаборатория: базовая,"Биохимия крови БАЗОВЫЙ профиль (АЛТ, АСТ, белок общий, билирубин общий, глюкоза, креатинин, мочевина)",2890,Лаборатория,Лаборатория. Биохимические анализы
52,Лаборатория: базовая,"Биохимия крови СТАНДАРТНЫЙ профиль (креатинин, мочевина, K, Na, Cl, фосфор, общий белок, альбумин, глобулин, общий билирубин, глюкоза, АСТ, АЛТ, ГГТ, ЩФ)",4160,Лаборатория,Лаборатория. Биохимические анализы
53,Лаборатория: базовая,"Биохимия стандартный профиль для рептилий (общий белок, АСТ, АЛТ, ЩФ, мочевая кислота, кальций, магний, фосфор)",3360,Лаборатория,Лаборатория. Биохимические анализы
54,Лаборатория: базовая,Общий анализ мочи (с микроскопией осадка) (Исследования мочеполовой системы),1270,Лаборатория,Лаборатория. Мочеполовая система
55,Лаборатория: базовая,Общий клинический анализ кала (копрограмма),2290,Лаборатория,Лаборатория. Прочие исследования
56,Процедуры,Инъекции (внутривенно через катетер),770,Терапия,Терапевтические манипуляции
57,Процедуры,Инъекция (внутривенно/внутрисуставно),1270,Терапия,Терапевтические манипуляции
58,Процедуры,"Инъекция (подкожно, внутримышечно)",360,Терапия,Терапевтические манипуляции
59,Процедуры,Инфузионная терапия 1 категория (до 2-х часов ) с инфузоматом,4620,Терапия,Терапевтические манипуляции
60,Процедуры,Инфузионная терапия 1 категория (до 2-х часов),3470,Терапия,Терапевтические манипуляции
61,Процедуры,Инфузионная терапия 2 категории ( от 2 до 6 часов),6380,Терапия,Терапевтические манипуляции
62,Процедуры,Инфузионная терапия 2 категории (от 2 до 6 часов) с инфузоматом,6930,Терапия,Терапевтические манипуляции
63,Процедуры,Инфузионная терапия 3 категории (от 6 до 12 часов ) с инфузоматом,11550,Терапия,Терапевтические манипуляции
64,Процедуры,Инфузионная терапия 3 категории (от 6 до 12 часов),9570,Терапия,Терапевтические манипуляции
65,Процедуры,Подкожная инфузия (5-15 мин) (терапия),1050,Терапия,Терапевтические манипуляции
66,Процедуры,Установка в/в катетера,1490,Терапия,Терапевтические манипуляции
67,Процедуры,Амбулаторная помощь,1,Терапия,Терапевтические манипуляции
68,Процедуры,Введение суппозитория/клизма,400,Терапия,Терапевтические манипуляции
69,Процедуры,Взятие крови (для отправки в стороннюю лабораторию),850,Терапия,Терапевтические манипуляции
70,Процедуры,Взятие спермы,1400,Терапия,Терапевтические манипуляции
71,Процедуры,Глюкозометрия (экспресс),280,Терапия,Терапевтические манипуляции
72,Процедуры,Измерение артериального давления (тонометрия),500,Терапия,Терапевтические манипуляции
73,Процедуры,Исследование с помощью лампы Вуда,690,Терапия,Терапевтические манипуляции
74,Процедуры,Мануальное опорожнение мочевого пузыря,850,Терапия,Терапевтические манипуляции
75,Процедуры,Обработка от эктопаразитов,480,Терапия,Терапевтические манипуляции
76,Процедуры,Обработка ротовой полости препаратами,910,Терапия,Терапевтические манипуляции
77,Процедуры,Отоскопия,1080,Терапия,Терапевтические манипуляции
78,Процедуры,Ректальный смыв,600,Терапия,Терапевтические манипуляции
79,Процедуры,Санация наружного слухового прохода,1050,Терапия,Терапевтические манипуляции
80,Процедуры,Санация носовых ходов,850,Терапия,Терапевтические манипуляции
81,Процедуры,Снятие клеща (1-5 шт),480,Терапия,Терапевтические манипуляции
82,Процедуры,Снятие клеща (6-15 шт),970,Терапия,Терапевтические манипуляции
83,Процедуры,Снятие клеща (более 15 шт),1430,Терапия,Терапевтические манипуляции
84,Процедуры,Стрижка когтей,1050,Терапия,Терапевтические манипуляции
85,Процедуры,Суточный мониторинг уровня глюкозы,2890,ОАРИТ,Терапевтические манипуляции
86,Процедуры,Фиксация агрессивных животных,1390,Терапия,Терапевтические манипуляции
87,Процедуры,Фиксация на рентгене сотрудником Зоостатуса,1270,Терапия,Терапевтические манипуляции
88,Процедуры,Чистка параанальных синусов,980,Терапия,Терапевтические манипуляции
89,Диагностика: УЗИ (прочее),Детализированное УЗИ при беременности,3300,Визуальная диагностика,Диагностика
90,Диагностика: УЗИ (прочее),"Диагностический центез под контролем УЗИ (лапароцентез, торакоцентез, цистоцентез)",1430,Визуальная диагностика,Диагностика
91,Диагностика: УЗИ (прочее),Некардиогенное УЗИ грудной полости,3630,Визуальная диагностика,Диагностика
92,Диагностика: УЗИ (прочее),Тонкоигольная биопсия (ТИАБ) под контролем УЗИ,3630,Визуальная диагностика,Биопсия
93,Диагностика: УЗИ (прочее),Трукат биопсия под контролем УЗИ,5780,Визуальная диагностика,Биопсия
94,Диагностика: УЗИ (прочее),УЗИ грудной полости у экзотов,2860,Визуальная диагностика,Диагностика
95,Диагностика: УЗИ (прочее),УЗИ для оценки перистальтики ЖКТ,1210,Визуальная диагностика,Диагностика
96,Диагностика: УЗИ (прочее),УЗИ на обнаружение/отсутствие свободной жидкости в одной полости,1210,Визуальная диагностика,Диагностика
97,Диагностика: УЗИ (прочее),УЗИ одного органа,2860,Визуальная диагностика,Диагностика
98,Диагностика: УЗИ (прочее),УЗИ одного патологического очага,910,Визуальная диагностика,Диагностика
99,Диагностика: УЗИ (прочее),УЗИ одной системы органов,3410,Визуальная диагностика,Диагностика
100,Диагностика: УЗИ (прочее),УЗИ экзотов теплокровные,4160,Визуальная диагностика,Диагностика
101,Диагностика: УЗИ (прочее),УЗИ экзотов хладнокровные,2310,Визуальная диагностика,Диагностика
102,Диагностика: УЗИ (прочее),УЗИ-контроль опорожнения мочевого пузыря,1210,Визуальная диагностика,Диагностика
103,Диагностика: УЗИ (прочее),УЗИ-мониторинг измененных параметров (для пациентов стационара),1430,Визуальная диагностика,Диагностика
104,Диагностика: рентген (спец),Рентген (барий-контрастное исследование ЖКТ),12710,Визуальная диагностика,Диагностика
105,Диагностика: рентген (спец),Рентген (выделительная урография),13860,Визуальная диагностика,Диагностика
106,Диагностика: рентген (спец),"Рентген (исследование на дисплазию локтевых и тазобедренных суставов, для РКФ) (седация включена)",17330,Визуальная диагностика,Диагностика
107,Диагностика: рентген (спец),"Рентген (исследование на дисплазию тазобедренных суставов, для РКФ) (седация включена)",12710,Визуальная диагностика,Диагностика
108,Диагностика: рентген (спец),"Рентген (исследование с контрастом при подозрении на инородные тела в жкт, без учета стоимости контрастного вещества и стационара) (Экзоты)",3800,Визуальная диагностика,Диагностика
109,Диагностика: рентген (спец),"Рентген (исследование тазобедренных, локтевых и плече-лопаточных суставов для взрослых животных ОПА)",13860,Визуальная диагностика,Диагностика
110,Диагностика: рентген (спец),"Рентген (исследование тазобедренных, локтевых и плече-лопаточных суставов у щенков 4-12 мес  для раннего выявления патологий ОПА)",11880,Визуальная диагностика,Диагностика
111,Диагностика: рентген (спец),Рентген (контрастная цистография),8690,Визуальная диагностика,Диагностика
112,Диагностика: рентген (спец),Рентген (миелография),13860,Визуальная диагностика,Диагностика
113,Диагностика: рентген (спец),Рентген (рентгенография пищевода),8690,Визуальная диагностика,Диагностика
114,Диагностика: рентген (спец),Рентген дентальный временных клыков,3470,Стоматология,Диагностика
115,Диагностика: рентген (спец),Рентген дентальный при эндодонтическом лечении (серия снимков),4620,Стоматология,Диагностика
116,Диагностика: рентген (спец),Рентген обзорный дентальный,6000,Стоматология,Диагностика
117,Стационар/ОРИТ,Аппликация офтальмологических препаратов в течение дня в условиях стационара,3360,ОАРИТ,Офтальмологические манипуляции
118,Стационар/ОРИТ,Гемотрансфузия (в условиях стационара),3470,ОАРИТ,Интенсивная терапия и стационар
119,Стационар/ОРИТ,Индивидуальный мониторинг в условиях стационара (сутки),11550,ОАРИТ,Интенсивная терапия и стационар
120,Стационар/ОРИТ,Интенсивная терапия 1 категория (первые 6 часов),7700,ОАРИТ,Интенсивная терапия и стационар
121,Стационар/ОРИТ,Интенсивная терапия 1 категория (после 6 часов (оплата за 1 час)),800,ОАРИТ,Интенсивная терапия и стационар
122,Стационар/ОРИТ,Интенсивная терапия 2 категория (первые 6 часов),10780,ОАРИТ,Интенсивная терапия и стационар
123,Стационар/ОРИТ,Интенсивная терапия 2 категория (после 6 часов (оплата за 1 час)),1050,ОАРИТ,Интенсивная терапия и стационар
