Название,Стоимость,Подразделение,Категория услуги
"Бинт самофиксирующийся 2,5 см",180,Аптека и склад,Препараты
"Бинт самофиксирующийся 7,5 см",460,Аптека и склад,Расходные материалы
Бинт самофиксирующийся 5 см,330,Аптека и склад,Препараты
Бинт самофиксирующийся 10 см,480,Аптека и склад,Расходные материалы
"Биохимия крови БАЗОВЫЙ профиль (АЛТ, АСТ, белок общий, билирубин общий, глюкоза, креатинин, мочевина)",2890,Лаборатория,Лаборатория. Биохимические анализы
"Биохимия крови СТАНДАРТНЫЙ профиль (креатинин, мочевина, K, Na, Cl, фосфор, общий белок, альбумин, глобулин, общий билирубин, глюкоза, АСТ, АЛТ, ГГТ, ЩФ)",4160,Лаборатория,Лаборатория. Биохимические анализы
"Биохимия крови МАКСИМАЛЬНЫЙ профиль (АЛТ, альбумин, глобулин, АСТ, белок общий, билирубин общий, ГГТ, глюкоза, калий, кальций, креатинин, магний, мочевина, натрий, триглицериды, фосфор, хлор, холестерин, лактат, щелочная фосфатаза)",10500,Лаборатория,Лаборатория. Биохимические анализы
"Биохимия крови РАСШИРЕННЫЙ профиль  (АЛТ, альбумин, глобулин, АСТ, белок общий, билирубин общий, ГГТ, глюкоза, калий, кальций, креатинин, мочевина, натрий, триглицериды, фосфор, холестерин, хлор, ЩФ)",7700,Лаборатория,Лаборатория. Биохимические анализы
"Биохимический анализ СТАНДАРТНЫЙ РАСШИРЕННЫЙ (АЛТ, альбумин, АСТ, белок общий, билирубин общий, ГГТ, глюкоза,  калий, кальций, креатинин, мочевина, натрий, фосфор, ЩФ, хлор)",6050,Лаборатория,Лаборатория. Биохимические анализы
"Биохимия профиль для грызунов (креатинин, мочевина, билирубин общий, АСТ,АЛТ,ГГТ)",2640,Лаборатория,Лаборатория. Биохимические анализы
Блефаропластика 1 глаз,15250,Офтальмология,Хирургия в офтальмологии
Блефаропластика 2 глаза,25410,Офтальмология,Хирургия в офтальмологии
Генетика Британская короткошерстная Группа крови кошек Поликистоз почек,2920,Лаборатория,Лаборатория. Генетические исследования
Бронхоальвеолярный лаваж (Слепой метод. Без учета стоимости лабораторных анализов),10160,Хирургия,Травматология и ортопедия
Бронхоскопия,11440,Хирургия,Эндоскопия
Бронхоскопия (+ извлечение инородного тела (1 категория)),15250,Хирургия,Эндоскопия
Бронхоскопия (+ извлечение инородного тела (2 категория)),23600,Хирургия,Эндоскопия
Вагиноскопия,5090,Хирургия,Эндоскопия
"Вакцинация (собаки, хорьки) DHPPI",3470,Терапия,Вакцинация
"Вакцинация (собаки, хорьки) DHPPI +R (Российская)",3470,Терапия,Вакцинация
"Вакцинация (собаки, хорьки) БЕЗ бешенства DHPPI+L",3470,Терапия,Вакцинация
"Вакцинация (собаки, хорьки) с бешенством DHPPI+LR",3470,Терапия,Вакцинация
Вакцинация кошек БЕЗ бешенства CPR,3470,Терапия,Вакцинация
Вакцинация кошек с бешенством CPR+Rabies,3470,Терапия,Вакцинация
Вакцинация кроликов (отечественная вакцина),2920,Терапия экзотических животных,
Вакцинация от бешенства (Российская),1790,Терапия,Вакцинация
Вакцинация от вирусного лейкоза кошек (без проведения экспресс-теста),3850,Терапия,Вакцинация
Вакцинация от лептоспироза Lepto (Российская),1960,Терапия,Вакцинация
"ВакциЧек, определение антител класса IgG к аденовирусу тип I (вирусный гепатит собак (СAV I), парвовирусу (CPV), чуме плотоядных (CDV)",3360,Лаборатория,"Лаборатория. Инфекции (ПЦР, ИХ, ИФА)"
"ВакциЧек, определение антител класса IgG к вирусу панлейкопении (FPV), калицивирусу (FCV), герпес вирусу (FHV)",3360,Лаборатория,"Лаборатория. Инфекции (ПЦР, ИХ, ИФА)"
Вальпроевая кислота,2310,Лаборатория,Лаборатория. Биохимические анализы
Вентральная атлантоаксиальная стабилизация,58440,Хирургия,Травматология и ортопедия
Вентральная буллотомия (кошки),17790,Хирургия,Общая хирургия
Вентральная буллотомия (собаки 10 - 25 кг),30490,Хирургия,Общая хирургия
Вентральная буллотомия (собаки более 25 кг),30490,Хирургия,Общая хирургия
Международный ветеринарный паспорт животного 1шт.,280,Аптека и склад,Расходные материалы
"Ветмедин 1,25 мг/50 таб.",4180,Аптека и склад,Препараты
Ветмедин 10 мг/50 таб.,11580,Аптека и склад,Препараты
Ветмедин 5 мг/50 таб.,8030,Аптека и склад,Препараты
"Ветмедин 0,75 мг/1 мл (введение на приёме/в стационаре)",1650,Аптека и склад,Препараты
"Ветмедин 0,75 мг 5 мл",7260,Аптека и склад,Препараты
Генетика Ген D (не все породы): D (интенсивный окрас); d (осветленный окрас),3360,Лаборатория,Лаборатория. Генетические исследования
Генетика Ген E (палевый): Е (черный); e (палевый); Em (маска),3360,Лаборатория,Лаборатория. Генетические исследования
Генетика Ген K: KB (доминантный черный),3190,Лаборатория,Лаборатория. Генетические исследования
Генетика Ген M (мерль): m (не несет аллель окраса мерль); M (мерль),2790,Лаборатория,Лаборатория. Генетические исследования
Генетика Два гена окраса,5750,Лаборатория,Лаборатория. Генетические исследования
"Генетика Куцевохвостость Породы: австралийская овчарка, австрийский пинчер, австралийская пастушья собака, бурбонский брак, бразильский терьер, бриттани спаниель, катахула леопард собака, хорватская овчарка, датская/шведская фермерская собака , джек рассе",3190,Лаборатория,Лаборатория. Генетические исследования
"Генетика  Объем мышечной массы уиппетов (""bully""). Породы: уиппет",3190,Лаборатория,Лаборатория. Генетические исследования
Генетика Три гена окраса,7700,Лаборатория,Лаборатория. Генетические исследования
Генетика Четыре гена окраса,9790,Лаборатория,Лаборатория. Генетические исследования
Взятие губчатого аутотрансплантантата (до 10 кг),15250,Хирургия,Общая хирургия
Взятие губчатого аутотрансплантантата (собаки 10 - 25 кг),15250,Хирургия,Общая хирургия
Взятие губчатого аутотрансплантантата (собаки более 25 кг),15250,Хирургия,Общая хирургия
Взятие крови (для отправки в стороннюю лабораторию),850,Терапия,Терапевтические манипуляции
Взятие спермы,1400,Терапия,Терапевтические манипуляции
Видеоотоскопия (+ извлечение инородого тела),8900,Хирургия,Эндоскопия
Диагностическая видеоотоскопия (за одно ухо),3850,Хирургия,Эндоскопия
"Винт (2,0.2,4)",310,Хирургия,Расходные материалы
"Винт (2,7.3,5)",540,Хирургия,Расходные материалы
Вирус чумы плотоядных (CDV) (ХОРЬКИ),1500,Лаборатория,"Лаборатория. Инфекции (ПЦР, ИХ, ИФА)"
Волювен 6% 500 мл (введение на приёме/в стационаре),790,Аптека и склад,Препараты
Воротник защитный № 40 на липучке,1600,Аптека и склад,Расходные материалы
"Воротник защитный № 7,5 на липучке",440,Аптека и склад,Расходные материалы
Воротник защитный № 10 на липучке,550,Аптека и склад,Расходные материалы
"Воротник защитный № 12,5 на липучке",610,Аптека и склад,Расходные материалы
Воротник защитный № 15 на липучке,640,Аптека и склад,Расходные материалы
Воротник защитный № 20 на липучке,660,Аптека и склад,Расходные материалы
Воротник защитный № 25 на липучке,850,Аптека и склад,Расходные материалы
Воротник  защитный  №30 на липучке,1050,Аптека и склад,Препараты
Вправление (подшивание) железы третьего века 1 глаз,12000,Офтальмология,Хирургия в офтальмологии
Вправление (подшивание) железы третьего века 2 глаза,20000,Офтальмология,Хирургия в офтальмологии
Вправление глазного яблока,14520,Офтальмология,Хирургия в офтальмологии
Вправление железы третьего века с резекцией хряща 1 глаз,17790,Офтальмология,Хирургия в офтальмологии
Вправление железы третьего века с резекцией хряща 2 глаза,21600,Офтальмология,Хирургия в офтальмологии
Вправление и стабилизация вывиха височно-челюстного сустава (до 10 кг),22870,Хирургия,Травматология и ортопедия
Вправление и стабилизация вывиха височно-челюстного сустава (собаки 10 - 25 кг),22870,Хирургия,Травматология и ортопедия
Вправление и стабилизация вывиха височно-челюстного сустава (собаки более 25 кг),22870,Хирургия,Травматология и ортопедия
Вправление слезной железы третьего века (на приеме),690,Офтальмология,Офтальмологические манипуляции
Вскрытие абсцесса,3820,Хирургия,Амбулаторная хирургия
Вскрытие гематомы ушной раковины,11440,Хирургия,Амбулаторная хирургия
Выполнение постоянной трахеостомии (кошки и собаки до 10 кг),16520,Хирургия,Общая хирургия
Выполнение постоянной трахеостомии (собаки 10 - 25 кг),16520,Хирургия,Общая хирургия
Выполнение постоянной трахеостомии (собаки более 25 кг),16520,Хирургия,Общая хирургия
Выявление клональности лимфоцитов PARR (ПОИСК),6770,Лаборатория,Лаборатория. Генетические исследования
